"id","adage","owner","keywords","language","created_at","updated_at"
"37","Düşünce her zaman söylenmez, söylenenler her zaman duyulmaz. Duyulan, her zaman anlaşılmaz, anlaşılan her zaman kabul edilmez. Kabul edilen her zaman yapılmaz, yapılan her zaman tekrar edilmez.","Konrad Lorenz","İletişim","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"38","Korkunun doğuracağı ilk şey, yalandır.","Fyodor Dostoyevski","Cesaret, Korku, Yaşam","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"39","Çene çalmak her zaman savaşmaktan daha iyidir.","Winston Churchill","Barış, İletişim","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"40","Sorunlu insanları düzeltmek yerine, güçlü çocuklar yetiştirmek daha kolaydır.","Frederick Douglass","Amaç, Gelecek, Yaşam","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"41","Yaşamdaki hiçbir şey, siz onu düşünürken düşündüğünüz kadar önemli değildir.","Daniel Kahneman","Bilgelik, Düşünce, Gelecek, Mutluluk, Yaşam","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"42","Biz aygıtları şekillendirirken, onlar da bizi şekillendirir.","Marshall McLuhan","Farkındalık, Gelecek, Gelişim, Yaşam","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"43","Kadınlar, aşık olana dek en iyi psikiyatristtirler. Aşık olduktan sonra da en iyi hasta olurlar.","Spellbound (Alfred Hitchcock 1945)","Bilgelik, Erkek, Gelecek, Kadın, Yaşam","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"44","Açılış cümleleri umurumda bile değil. İlgimi çeken tek şey kapanış cümlesi. Okuyucu yatağına bu cümleyle gider.","Elfriede Jelinek","Bağlılık, Bağımlılık, Heyecan","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"45","Tarihin beğenerek andığı insanlar daima dönüm noktalarında bulunanlardır.","Orhan Veli Bütün Şiirleri syf. 29",,"1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"46","İki tavşanı kovalayan kişi, hiç birini yakalayamaz.","Rus Atasözü","Bilgelik, Farkındalık, Gelecek, Odak","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"47","İnsanlar sizinle konuştuklarını unuturlar, ama sizin varlığınızın nasıl hissettirdiğini unutmazlar. ","İletişim Kitabı, sayfa 65","Farkındalık, İletişim","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"48","Nereye gideceğini bilmiyorsan, hangi yoldan gittiğinin hiç bir önemi yok.","Lewis Carroll / Alice Harikalar Diyarında","Amaç, Bilgelik, Hedef, Yaşam","1","2022-05-02 20:33:04","2022-05-02 20:33:04"
"49","İyi bir savaş veya kötü bir barış hiç olmamıştır.","Benjamin Franklin","savaş, barış, iyi, kötü","1","2022-07-19 16:03:52","2022-07-19 16:03:52"
"50","İnsanlar hayvanları öldürüp yedikçe, dünya üzerinden cinayet, kan dökme ve savaşlar kalkmayacaktır.","Pisagor","savaş, cinayet, vegan, hayvan hakları","1","2022-08-22 07:17:52","2022-08-22 07:17:52"
"51","Dünyanın nasıl olduğu değildir gizemli olan; olduğudur.","A. C. Grayling","varoluş, dünya, gizem","1","2022-08-22 07:34:41","2022-08-22 07:34:41"
"52","Acı olan mutlu olmamak değil, mutlu olabilecekken olamamaktır.","A. J. Cronin","acı, mutluluk, imkan","1","2022-08-22 07:35:31","2022-08-22 07:35:31"
"53","Kalbinde gerçek inanç ve cesareti olan her zaman kazanır.","Aamir Khan","cesaret, inan, kazanç","1","2022-08-22 07:37:38","2022-08-22 07:37:38"
"54","Trajedi ile komedinin farkı: Trajedi, bizim başımıza gelen, komedi başkalarının başına gelen korkunç şeydir.","Aaron Allston","mutluluk, trajedi, komedi, korku","1","2022-08-22 07:38:52","2022-08-22 07:38:52"
"55","Sevgi insan yüreğindeki en iyi ve en soylu şeydir.","Vincent van Gogh","sevgi, insan, yürek, iyilik","1","2022-09-04 17:54:53","2022-09-04 17:54:53"
"56","Fikrimi çalmaları mühim değil. Asıl mühim olan kendi fikirlerinin olmaması.","Nikola Tesla","fikir, özgünlük, yaratıcılık","1","2022-09-06 09:30:20","2022-09-06 09:30:20"
"57","Senin gönlün değişirse dünya değişir.","Şems-i Tebrizi","değişim, yol, bakış açısı","1","2022-09-12 09:16:48","2022-09-12 09:16:48"
"58","Eylemsiz farkındalık, pişmanlıktır.","Dorothy E. Siminovitch","farkındalık, eylem, pişmanlık","1","2022-09-25 12:11:56","2022-09-25 12:11:56"
"59","Bir kere garip hissettin mi bir daha normal hissetmenin yolu yok. Çünkü farkında olmadığın normal hissetmenin bekareti bozulmuştur.","Mahir Yıldızhan","farkındalık, normal, garip, hissetmek","1","2022-09-26 09:34:56","2022-09-26 09:34:56"
"60","Kitaplar, zamanda ve mekanda yolculuk yapmanın bilinen tek yoludur.","Mahir Yıldızhan","kitap, okumak, zaman, hayal gücü","1","2022-09-26 12:26:20","2022-09-26 12:26:20"
"61","Anlayışlı olmak, mutluluğun ana parçasıdır.","Sophokles, Antigone","mutluluk, anlayış, yaşam","1","2022-09-27 06:31:48","2022-09-27 06:31:48"
"62","Aklı başında kişi hoş olanın değil, acı vermeyenin peşindedir.","Aristoteles","mutluluk, acı, yaşam","1","2022-09-27 06:39:46","2022-09-27 06:39:46"
"63","Başkasının mutlu olması seni rahatsız ediyorsa asla mutlu olamazsın.","Seneca","kıskançlık, mutluluk","1","2022-09-27 06:45:15","2022-09-27 06:45:15"
"64","Önünde ne çok kimsenin olduğunu görürsen ne çok kimsenin de arkanda olduğunu düşün.","Seneca","kıskançlık, mutluluk, ahlak","1","2022-09-27 06:46:58","2022-09-27 06:46:58"
"65","Bölüşürsek tok oluruz, bölünürsek yok oluruz.","Yunus Emre","paylaşmak, iyilik, kuvvet","1","2022-11-05 21:18:55","2022-11-05 21:18:55"
"66","Kıyıyı gözden kaybetmeye cesaret edemeyince, insan okyanusu keşfedemez.","Seneca","özgürlük, sınırlar, farkındalık, cesaret","1","2022-11-14 12:37:39","2022-11-14 12:37:39"
"67","Özlemek erken saatlere alınsın. Sonra uykusuz kalıyor insan.","Cemal Süreya","özlem, uyku, uykusuzluk, gece","1","2022-12-01 19:18:52","2022-12-01 19:18:52"
"68","Erdemsiz bir mutluluk olamaz.","Seneca","Erdem, mutluluk,","1","2022-12-06 18:20:13","2022-12-06 18:20:13"
"69","Bizleri mutlu eden insanlara şükran duyalım çünkü onlar ruhumuzda çiçekler açtıran büyüleyici bahçıvanlardır.","Marcel Proust","mutluluk, dostluk, arkadaşlık, şükran","1","2022-12-06 18:37:31","2022-12-06 18:37:31"
"70","Siz öyle düşünmediğiniz sürece hiçbir şey acınası değildir ve siz ondan memnun olmadığınız sürece hiçbir şey mutluluk getiremez.","Boethius, Felsefenin Tesellisi","mutluluk, algı, düşünce, acınası, memnuniyet","1","2022-12-06 19:01:40","2022-12-06 19:01:40"
"71","Mutluluk; düşündüğün, söylediğin ve yaptığının uyum içinde olmasıdır.","Mahatma Gandhi","mutluluk, uyum, söz, eylem","1","2022-12-06 19:13:56","2022-12-06 19:13:56"
"72","Çocuklar dudaklarınızı değil, ayaklarınızı izlerler.","İskoç Atasözü","taklit, yeni jenerasyon, çocuk, rol model","1","2022-12-12 05:37:11","2022-12-12 05:37:11"
"73","İnsanın değeri, aradığı şeydir.","Mevlânâ Celâleddîn-i Rûmî","amaç, erdem, değer, arayış","1","2022-12-13 17:34:14","2023-03-15 18:00:36"
"74","Doğrudan nasihat, kişiyi yaralar.","Mevlânâ Celâleddîn-i Rûmî","nasihat, yara, söz, eylem","1","2022-12-13 17:36:00","2023-03-15 18:01:19"
"75","İlaçlar, mutluluğun çözemediği hiçbir şeyi çözemez.","Gabriel Garcia Marquez","ilaç, mutluluk, tedavi, hastalık","1","2022-12-20 15:30:03","2022-12-20 15:30:03"
"76","Mutluluğu ararken ona ilk rastladığımız rotada ısrarcı olmamızdan daha doğal ne vardır?","Sigmund Freud","mutluluk, arayış, rota","1","2022-12-20 15:33:18","2022-12-20 15:33:18"
"77","Mutluluk, zorluklara karşı kazanılan zaferin dışavurumu dur.","Alfred Adler","mutluluk, dışavurum, zorluk, zafer","1","2022-12-23 20:48:38","2022-12-23 20:48:38"
"78","Mutluluk son derece sıradan şeylerdedir. Bir masada, sandalyede, sayfaları arasına kağıt bıçağı sıkıştırılmış bir kitapta... Gülün düşen taç yaprağında, biz sessizce otururken titreşen ışıkta yahut belki de aklımıza düşen önemsiz şeylerde ve aniden onlardan bahsetmemizde...","Virginia Woolf (Dalgalar)","mutluluk, basit, sıradan, kitap, gül","1","2022-12-23 20:55:28","2022-12-23 20:55:28"
"79","Yaşamak için bir nedeni olan kişi, her türlü nasıla dayanabilir.","Friedrich Wilhelm Nietzsche","amaç, mutluluk, hayat amacı, neden, kişi, nasıl","1","2022-12-24 10:46:53","2022-12-24 10:46:53"
"80","Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.","Mevlânâ Celâleddîn-i Rûmî","wise, clever,","2","2022-12-27 17:20:50","2023-03-15 18:00:50"
"81","Dün akıllıydım, dünyayı değiştirmek istedim. Bugün bilgeyim, kendimi değiştiriyorum.","Mevlânâ Celâleddîn-i Rûmî","bilgelik, değişim, arzu, geçmiş, bugün, kendi","1","2022-12-27 17:21:55","2023-03-15 18:00:14"
"82","Teklikte, kendine çokluk ol. Yanında kimse olmadığında, benliğine kalabalık ol.","Albius Tibullus","yanlızlık, kalabalık, teklik, arkadaş","1","2023-01-03 14:58:33","2023-01-03 14:58:33"
"83","Önyargıyı yıkmak, atomu parçalamaktan daha zor.","Albert Einstein","önyargı, zorluk, mücadele","1","2023-01-04 14:32:55","2023-01-04 14:33:33"
"84","İnsanın öğrenmesi gereken ilk dil tatlı dildir.","Barış Manço","iyilik, dil, insan","1","2023-01-04 14:34:47","2023-01-04 14:34:47"
"85","Kral da, dilenci de aynı iştahla acıkırlar.","Montaigne","açlık, iştah, eşitlik, zenginlik, fakirlik","1","2023-01-04 14:39:35","2023-01-04 14:39:35"
"86","Gerçeği bilenler ile onu sevenler hiçbir zaman eşit değildirler.","Konfüçyus","gerçek, bilgelik, eşitlik, sevgi","1","2023-01-04 14:41:37","2023-01-04 14:41:37"
"87","İnsan için önüne çıkan bütün yollar ""yürünebilir"" yollar ise, o insan artık kaybolmuştur.","İsmet Özel","yol, yolculuk, yürümek, kaybolmak","1","2023-01-07 15:37:09","2023-01-07 15:37:09"
"88","Çağrıldığın yere git, ar eyleme; çağrılmadığın yere gidip yerini dar eyleme.","Türk atasözü","çağrı, ar, utanma, gitmek, eylemek, yol","1","2023-01-07 15:38:56","2023-01-07 15:38:56"
"89","Bir kitap yazmamak inanılmaz zaman alıyor.","Douglas Adams","kitap, yazmak, zaman","1","2023-01-07 15:44:58","2023-01-07 15:44:58"
"90","Bir insan dünyadan vazgeçip, kasıtlı olarak yalnızlık içinde yaşarsa, diğerleriyle olan ilişkisini, nadir olarak yararlandığı özel bir zevk olarak görmeye başlayabilir.","Friedrich Wilhelm Nietzsche","yalnızlık, insan, toplum, zevk","1","2023-01-07 21:12:03","2023-01-07 21:12:03"
"91","İnsan sevilmekten çok anlaşılmayı istiyordu belki de.","George Orwell","sevgi, insan, anlaşılmak, istek","1","2023-01-09 10:58:48","2023-01-09 10:58:48"
"92","Gençliğe, yaşlılıktan çok hürmet etmeliyiz.","Victor Hugo","gençlik, yaşlılık","1","2023-01-10 07:43:05","2023-01-10 07:43:05"
"93","Sabır, demir kalkandır.","Mevlânâ Celâleddîn-i Rûmî","sabır, kuvvet, güç, dayanıklılık","1","2023-01-10 07:45:26","2023-03-15 18:03:29"
"94","Bir mum, başka bir muma ışık vermekle ışığından bir şey kaybetmez.","Mevlânâ Celâleddîn-i Rûmî","Işık, mum, paylaşmak, bilgi, bilge","1","2023-01-24 16:45:54","2023-03-15 18:01:06"
"95","Bilirken susmak, bilmezken konuşmak kadar çirkindir.","Platon","bilmek, susmak, suç, suçlu","1","2023-01-24 17:14:26","2023-01-24 17:14:26"
"96","Dilimin sınırları, dünyamın sınırlarıdır.","Ludwig Wittgenstein","sınır, vizyon, konuşmak, olumlama","1","2023-02-18 11:34:34","2023-02-18 11:34:34"
"97","Ayıpsız dost arayan, dostsuz kalır.","Mevlânâ Celâleddîn-i Rûmî","dost, ayıp, kusur, aramak","1","2023-02-18 11:49:26","2023-02-18 11:49:26"
"98","Sevmeyene karınca yük, sevene filler karınca. Dağı bile taşır insan aşık olup inanınca.","Şems-i Tebrizi","inanç, yük, emek, karınca, fil","1","2023-03-14 17:32:36","2023-03-14 17:32:36"
"99","Kitapları yakmaktan daha kötü suçlar vardır. Bunlardan biri okumamaktır.","Ray Bradbury","kitap, okumak","1","2023-03-20 10:12:37","2023-03-20 10:12:37"
"100","Öfke her zaman hüsranla sonuçlanan beklentilerden gelir.","Elliott Larson","öfke, beklenti","1","2023-03-20 10:25:44","2023-03-20 10:25:44"
"101","Biz mağlup olduk efendim. Çirkinliğe, kabalığa, bayağılığa mağlup olduk.","Aziz Nesin","çirkinlik, kabalık, bayağılık, değişim","1","2023-03-24 04:05:27","2023-03-24 04:05:27"
"102","Vatanını en çok seven, görevini en iyi yapandır.","Mustafa Kemal Atatürk","çalışkanlık, vatan, sevgi, görev","1","2023-05-11 10:58:30","2023-05-11 10:58:30"
"103","Tüm hayatınızı fırtınayı beklemekle geçirirseniz, hiçbir zaman günışığının tadını çıkaramazsınız.","Morris West","tutum, fırtına, yaşam,","1","2023-05-12 12:46:37","2023-05-12 12:46:37"
"105","Sözcüklere gerek kalmadan beni anlayacaklarını sandım.","Vincent van Gogh","anlam, anlaşılmak, yaşam","1","2023-05-13 20:52:16","2023-05-13 20:52:16"
"106","Mükemmel iyinin düşmanıdır.","Voltaire","mükemmellik, iyi, düşman, voltaire, gayret","1","2023-05-17 06:19:20","2023-05-17 06:19:20"
"107","Uçurtmalar rüzgâr gücüyle değil, o güce karşı koydukları için yükselir.","Winston Churchill","direnç, dayanmak, uçmak, güçlük, zorluk","1","2023-05-31 13:26:12","2023-05-31 13:26:12"
"108","Eğer o günü her zaman yarın yapmazsan, bir gün içerisinde birçok güzel şey yapılabilir.","Anonim","zaman, gün, yarın, gelecek, deeğerlendirmek","1","2023-05-31 13:26:12","2023-05-31 13:26:12"
"109","Sevgi, ""hatalısın"" yerine ""farklı hissediyorum"" demektir.","Anonim","sevgi, şefkat, hata, farklı","1","2023-05-31 13:29:16","2023-05-31 13:29:16"
"110","Kendi içgüdülerinize güvenin. Hiç değilse hatalarınızın nedeni siz olursunuz, başkaları değil.","Billy Wilder","hata, güven, içgüdü, suçlama, olumlu, olumsuz","1","2023-05-31 13:29:16","2023-05-31 13:29:16"
"111","Kişi kendi gölgesi üzerinde durur ve neden karanlık olduğunu merak eder.","Zen Atasözü","güven, gölge, karanlık, bilinç, zorluk, farkındalık","1","2023-05-31 13:35:33","2023-05-31 13:35:33"
"112","Sen seçimlerinsin.","Seneca","seçim, karakter, kişilik, kendini bulmak","1","2023-05-31 13:35:33","2023-05-31 13:35:33"
"113","Düşünceniz hareketinizi belirler ve hareketiniz sonuçlarınızı belirler, ama öncelikle inanmalısınız.","Mark Victor Hansen","kararlılık, düşünce, inanmak, öncelik, seçmek","1","2023-05-31 13:39:37","2023-05-31 13:39:37"
"114","Hatalar keşfin giriş kapılarıdır.","James Joyce","kararlılık, keşif, hata, zorluk","1","2023-05-31 13:39:37","2023-05-31 13:39:37"
"115","Paraya sahip olmanın tek güzel yanı onu harcamaktır.","Benjamin Franklin","para, korku, güç","1","2023-05-31 13:41:39","2023-05-31 13:41:39"
"116","Bilgelik bundan sonra ne yapılacağını, beceri nasıl yapılacağını bilmektir, erdem ise yapmaktır.","David Starr Jordan","bilgelik, beceri, erdem, yapmak, ne, nasıl","1","2023-05-31 13:41:39","2023-05-31 13:41:39"
"117","Anlamlı olmadıkça özrün, özür olmadığını hatırlamalıyız.","Anonim","özür, anlam, gerçek","1","2023-05-31 14:02:39","2023-05-31 14:02:39"
"118","Az için şükret, çoğu bulacaksın.","Hausa Atasözü","şükür, zenginlik, az","1","2023-05-31 14:02:39","2023-05-31 14:02:39"
"119","Eksik hiçbir şey olmadığını anladığınızda, tüm dünya size aittir.","Lao Tzu","dünya, eksiklik, aidiyet, anlam, arayış","1","2023-05-31 14:04:54","2023-05-31 14:04:54"
"120","Büyük eylemler küçük hareketlerden oluşur.","Lao Tzu","eylem, hareket, güç, değişim, oluşur","1","2023-05-31 14:04:54","2023-05-31 14:04:54"
"121","Mutluluk ve özgürlük, bir tek ilkenin açık seçik anlaşılmasıyla başlar; Bazı şeyleri kontrol edebiliriz, başı şeyleri edemeyiz.","Epiktetos","epiktetos, özgürlük, stoa, kontrol, anlamak, mutluluk","1","2023-06-06 11:28:58","2023-06-06 11:28:58"
"122","Hayalimizde, gerçekte olduğundan daha fazla acı çekeriz.","Seneca","acı, gerçek, hayal, stoa, algılama","1","2023-06-06 11:33:29","2023-06-06 11:33:29"
"123","Var mısın ki yok olmaktan korkuyorsun?","Farabi","var olmak, yok oluş, korku","1","2023-06-18 20:38:59","2023-06-18 20:38:59"
"124","Sen hüzünlüsün diye dünya durup sana yol vermeyecek.","Doğan Cüceloğlu","hüzün, hayat, zorluk, farkındalık","1","2023-06-18 20:41:46","2023-06-18 20:41:46"
"125","Fark etmek acıydı ama gerekliydi.","Christy Brown","farkındalık, acı, hayat","1","2023-06-18 20:43:44","2023-06-18 20:43:44"
"126","Başkalarını çok fazla düşünen bir kimse, kendisini unutur.","Stefan Zweig","bencillik, düşünme, unutmak, özsevgi","1","2023-06-18 20:45:45","2023-06-18 20:45:45"
"127","Uçurtmayı yükselten rüzgar değildir. Rüzgara karşı verdiği mücadeledir.","Aamir Khan","Zorluk, mücadele, başarı, rüzgar, yükselmek","1","2023-06-18 20:50:31","2023-06-18 20:50:31"
"128","Keşke düşüncelerim de kapansa gözlerim kapanınca.","William Shakespeare","uyku, düşünme, endişe, kaygı, aşırı düşünme","1","2023-06-18 20:53:18","2023-06-18 20:53:18"
"129","İnsanlar, onlar için ne yaptığınızı anlamazlar; ta ki, siz yapmayı bırakana kadar.","La Edri","iyilik, nankörlük, yaşam, farkındalık","1","2023-06-18 20:56:14","2023-06-18 20:56:14"
"130","Biz ikna olmuş fizikçiler için geçmiş, günümüz ve gelecek arasındaki fark yalnızca ısrarlı bir yanılsamadan ibarettir.","Albert Einstein","zaman, yanılgı, fizik, algı","1","2023-07-09 09:53:30","2023-07-09 09:53:30"
"131","Tebdil-i mekanda ferahlık vardır.","Atasözü","değişim, mekan, ferahlık, esinti, yürüyüş, hareket","1","2023-07-19 17:42:38","2023-07-19 17:42:38"
"133","Düşünce kurgularında temel bir değişim olmadıkça insanlığın genel durumunda büyük bir gelişim mümkün değildir.","J. S. Mill","düşünce, değişim, yenilik, iyileşme, gelişme, düşünme","1","2023-07-20 14:06:54","2023-07-20 14:06:54"
"134","En iyi anlar genelde, bir kişinin bedeni ve zihni zor ve değerli bir şeyi başarmak için gönüllü bir çabayla sınırlarına kadar zorlandığında olur.","Mihaly Csikszentmihalyi","zorluk, değer, gönüllülük, başarı, an, anı, çaba","1","2023-07-20 14:33:16","2023-07-20 14:33:16"
"135","Kendini kaybeden bir insan, bütün bir dünyayı ka­zansa bile ne olur? Ben önce kendimi fethetmeyi deniyorum, dünyayı kaybetsem de umurumda değil.","Mihaly Csikszentmihalyi","kendini, bil, kazanmak, başarı, keşif, özfarkındalık, yönetim, zaman, bilgi","1","2023-07-20 14:35:00","2023-07-20 14:35:00"
"136","En güçlü olan, kendi gücüne sahip olandır.","Seneca","seçim, özdisiplin, güç, aidiyet, özfarkındalık","1","2023-07-21 12:29:54","2023-07-21 12:29:54"
"137","Her seçiş bir vazgeçiştir.","Jean Paul Sartre","seçim, vazgeçmek, karar, kararsızlık, yaşam","1","2023-07-26 14:23:18","2023-07-26 14:23:18"
"138","Çünkü insan bastırdığı duygunun esiri olur.","Cahit Zarifoğlu","stres, baskı, kaygı, anksiyete, düşünce","1","2023-08-05 09:24:00","2023-08-05 09:24:00"
"139","Nesneler bizim onlara yüklediğimiz anlamlardan ibarettir. İnsanlar da öyle.","John Berger","insan, düşünce, anlam, farkındalık, nesne","1","2023-08-05 09:25:34","2023-08-05 09:25:34"
"140","10.000 tekmeyi 1 kez çalışandansa 1 tekmeyi 10.000 kez çalışandan korkarım.","Bruce Lee","azim, çalışma, yaşam","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"141","Bu yol yalnızca senin, Başkaları seninle yürüyebilir, Fakat hiç kimse senin için yürümez.","Mevlânâ Celâleddîn-i Rûmî","yol, kader, farkındalık, kader","1","2023-08-14 12:18:21","2023-08-14 12:18:21"
"142","Bildiğim bir tek özgürlük vardır o da aklın özgürlüğüdür.","Antoine de Saint-Exupery","özgürlük, düşünce, felsefe, öfke","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"143","İnsanı güçlü kılan, bazı insanların düşündüğü gibi elinde tutmak değil, bazen de bırakmaktır.","Anonim","öfke, bırakmak, güç","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"144","Geçmiş ne kadar zor olursa olsun, her zaman tekrar başlayabilirsin.","Buddha","stres, geçmiş, başlamak, yeniden, zorluk","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"145","Acı çekmemize sebep, başımıza gelen değildir; başımıza gelenle ilgili kendimize ne söylediğimizdir.","Pema Chodron","acı, bakış açısı, sebep, düşünmek, özsevgi","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"146","Mutluluk yoğunluk değil, denge, düzen, ritim ve uyum halidir.","Thomas Merton","tutum, mutluluk, denge, ritim, düzen","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"147","Geçmişi bırakmak demek şu andaki rüyanızdan haz alabilirsiniz demektir.","Don Miguel Ruiz","geçmiş, haz, anı yakalamak, rüya","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"148","Güzel olan şey asla mükemmel değildir.","Atasözü","güzel, mükemmel","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"149","Büyüme, güçsüzlüklerimizi kabul etmeye başladığımızda başlar.","Jean Vanier","gelişim, büyüme, güçsüzlük, zayıflık, başlamak","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"150","Bir engel, basamak taşı da olabilir köstek de.","Anonim","engel, zorluk, gelişim, fırsat,","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
