"id","adage","owner","keywords","language","created_at","updated_at"
"450","Şikayet etmek aptallıktır. Ya harekete geç ya da unut.","Stefan Sagmeister","şikayet, kabul, öfke, unutmak, yaşam","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"460","Bizim çağımızda eksik olan şey düşünce değil, tutkudur.","Søren Kierkegaard","zaman, düşünce, tutku, bilgelik, yaşam","1","2023-11-15 07:49:27","2023-11-15 07:49:27"
"500","Umut, sahip olduğunuz hissin daimi olmadığı hissidir.","Joan Kerr","umut, öfke, farkındalık","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"510","Öfkeniz için cezalandırılmayacaksınız, öfkeniz tarafından cezalandırılacaksınız.","Buddha","öfke, ceza, taraf","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"540","Ne olduğun gerçeğiyle yüzleş, çünkü seni değiştirecek olan şey odur.","Søren Kierkegaard","kendi, bilgelik, bilme, değişim, gerçek, yüzleşmek, birey","1","2023-11-15 07:50:47","2023-11-15 07:50:47"
"560","Sevincimize en büyük engel kırgınlıktır.","Pema Chodron","öfke, kırgınlık, yaşam, sevinç","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"570","Hissetmediğiniz bir şeyi kendinize zorla hissettiremezsiniz, ama hislerinize rağmen doğruyu yapabilirsiniz.","Pearl S. Buck","his, doğru, seçim, yaşam, öfke, üzüntü, stres","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"580","Bir anlık kızgınlıkta sabırlı olursanız yüz günlük pişmanlıktan kurtulursunuz.","Çin Atasözü","sabır, pişmanlık, kızgınlık, yaşam, öfke","1","2023-09-14 14:34:05","2023-11-27 05:13:29"
"600","Ümitsizliğin en derin biçimi, kendisi olmaktansa başkası olmayı seçmektir.","Søren Kierkegaard","kendi, bilgelik, bilme, değişim, gerçek, birey, ümit, seçim","1","2023-11-15 07:51:54","2023-11-15 07:51:54"
"610","Zayıflar asla affedemez. Affetmek güçlülerin özelliğidir.","Mahatma Gandhi","affetmek, zayıflık, güç, öfke","1","2023-09-14 14:34:05","2023-09-14 14:34:05"
"620","Şu dünyaya bir kez adımınızı attınız mı, ölmek için yeterince yaşlısınız demektir.","Søren Kierkegaard","ölüm, şans, kader, dünya, adım","1","2023-11-15 07:54:02","2023-11-15 07:54:02"
"630","Bilgeler ve onurlu yaşayanlar hep acı çekecektir.","Arthur Schopenhauer","Mutluluk, Bilgelik","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"640","Herkesten daha ilerisini görebildiysem, devlerin omuzlarında durduğum içindir.","Isaac Newton","Emek, Çaba, Çalışkanlık","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"650","Sabahtan kaybettiğin bir saatin bütün gün zararını çekersin.","William Wately","zaman, zaman yönetimi, uyku, erken kalkmak, verimlilik","1","2022-05-02 20:33:03","2023-01-09 10:59:37"
"660","İnsandan ümit ve uykuyu alın, onu dünyanın en bahtsız ve en perişan insanı haline getirmiş olursunuz.","Immanuel Kant","uyku, ümit, baht, insan, perişan","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"670","Geminin içi su almadığı müddetçe, sonsuz büyüklükteki deniz o gemiyi batıramaz. Siz zihninize girmesine izin vermediğiniz müddetçe, olumsuzluklar da sizi yıkamaz.","Anonim","Amaç, Düşünce, Gelecek, Mutluluk, Yaşam, Çalışma","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"680","Sebebin yokluğu sonucun yokluğudur, ancak sonucun yokluğu sebebin yokluğu anlamına gelmez. Sebepler her zaman potansiyel sonuç doğurur.","Kanada","Bilgelik, Hedef, Çalışma","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
