id,name,slug,description,created_at,updated_at
1,Genel,genel,,"2026-04-02 01:39:31","2026-04-02 01:39:31"
2,Teknoloji,teknoloji,,"2026-04-02 01:39:31","2026-04-02 01:39:31"
3,Kisisel,kisisel,,"2026-04-02 01:39:31","2026-04-02 01:39:31"
