id,owner,adage,keywords,language,created_at,updated_at
41,"Daniel Kahneman","Yaşamdaki hiçbir şey, siz onu düşünürken düşündüğünüz kadar önemli değildir.","Bilgelik, Düşünce, Gelecek, Mutluluk, Yaşam",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
42,"Marshall McLuhan","Biz aygıtları şekillendirirken, onlar da bizi şekillendirir.","Farkındalık, Gelecek, Gelişim, Yaşam",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
43,"Spellbound (Alfred Hitchcock 1945)","Kadınlar, aşık olana dek en iyi psikiyatristtirler. Aşık olduktan sonra da en iyi hasta olurlar.","Bilgelik, Erkek, Gelecek, Kadın, Yaşam",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
44,"Elfriede Jelinek","Açılış cümleleri umurumda bile değil. İlgimi çeken tek şey kapanış cümlesi. Okuyucu yatağına bu cümleyle gider.","Bağlılık, Bağımlılık, Heyecan",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
45,"Orhan Veli Bütün Şiirleri syf. 29","Tarihin beğenerek andığı insanlar daima dönüm noktalarında bulunanlardır.",,1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
46,"Rus Atasözü","İki tavşanı kovalayan kişi, hiç birini yakalayamaz.","Bilgelik, Farkındalık, Gelecek, Odak",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
47,"İletişim Kitabı, sayfa 65","İnsanlar sizinle konuştuklarını unuturlar, ama sizin varlığınızın nasıl hissettirdiğini unutmazlar.","Farkındalık, İletişim",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
48,"Lewis Carroll / Alice Harikalar Diyarında","Nereye gideceğini bilmiyorsan, hangi yoldan gittiğinin hiç bir önemi yok.","Amaç, Bilgelik, Hedef, Yaşam",1,"2022-05-02 20:33:04","2022-05-02 20:33:04"
49,"Benjamin Franklin","İyi bir savaş veya kötü bir barış hiç olmamıştır.","savaş, barış, iyi, kötü",1,"2022-07-19 16:03:52","2022-07-19 16:03:52"
50,Pisagor,"İnsanlar hayvanları öldürüp yedikçe, dünya üzerinden cinayet, kan dökme ve savaşlar kalkmayacaktır.","savaş, cinayet, vegan, hayvan hakları",1,"2022-08-22 07:17:52","2022-08-22 07:17:52"
51,"A. C. Grayling","Dünyanın nasıl olduğu değildir gizemli olan; olduğudur.","varoluş, dünya, gizem",1,"2022-08-22 07:34:41","2022-08-22 07:34:41"
52,"A. J. Cronin","Acı olan mutlu olmamak değil, mutlu olabilecekken olamamaktır.","acı, mutluluk, imkan",1,"2022-08-22 07:35:31","2022-08-22 07:35:31"
53,"Aamir Khan","Kalbinde gerçek inanç ve cesareti olan her zaman kazanır.","cesaret, inan, kazanç",1,"2022-08-22 07:37:38","2022-08-22 07:37:38"
54,"Aaron Allston","Trajedi ile komedinin farkı: Trajedi, bizim başımıza gelen, komedi başkalarının başına gelen korkunç şeydir.","mutluluk, trajedi, komedi, korku",1,"2022-08-22 07:38:52","2022-08-22 07:38:52"
55,"Vincent van Gogh","Sevgi insan yüreğindeki en iyi ve en soylu şeydir.","sevgi, insan, yürek, iyilik",1,"2022-09-04 17:54:53","2022-09-04 17:54:53"
56,"Nikola Tesla","Fikrimi çalmaları mühim değil. Asıl mühim olan kendi fikirlerinin olmaması.","fikir, özgünlük, yaratıcılık",1,"2022-09-06 09:30:20","2022-09-06 09:30:20"
57,"Şems-i Tebrizi","Senin gönlün değişirse dünya değişir.","değişim, yol, bakış açısı",1,"2022-09-12 09:16:48","2022-09-12 09:16:48"
58,"Dorothy E. Siminovitch","Eylemsiz farkındalık, pişmanlıktır.","farkındalık, eylem, pişmanlık",1,"2022-09-25 12:11:56","2022-09-25 12:11:56"
59,"Mahir Yıldızhan","Bir kere garip hissettin mi bir daha normal hissetmenin yolu yok. Çünkü farkında olmadığın normal hissetmenin bekareti bozulmuştur.","farkındalık, normal, garip, hissetmek",1,"2022-09-26 09:34:56","2022-09-26 09:34:56"
60,"Mahir Yıldızhan","Kitaplar, zamanda ve mekanda yolculuk yapmanın bilinen tek yoludur.","kitap, okumak, zaman, hayal gücü",1,"2022-09-26 12:26:20","2022-09-26 12:26:20"
61,"Sophokles, Antigone","Anlayışlı olmak, mutluluğun ana parçasıdır.","mutluluk, anlayış, yaşam",1,"2022-09-27 06:31:48","2022-09-27 06:31:48"
62,Aristoteles,"Aklı başında kişi hoş olanın değil, acı vermeyenin peşindedir.","mutluluk, acı, yaşam",1,"2022-09-27 06:39:46","2022-09-27 06:39:46"
63,Seneca,"Başkasının mutlu olması seni rahatsız ediyorsa asla mutlu olamazsın.","kıskançlık, mutluluk",1,"2022-09-27 06:45:15","2022-09-27 06:45:15"
64,Seneca,"Önünde ne çok kimsenin olduğunu görürsen ne çok kimsenin de arkanda olduğunu düşün.","kıskançlık, mutluluk, ahlak",1,"2022-09-27 06:46:58","2022-09-27 06:46:58"
65,"Yunus Emre","Bölüşürsek tok oluruz, bölünürsek yok oluruz.","paylaşmak, iyilik, kuvvet",1,"2022-11-05 21:18:55","2022-11-05 21:18:55"
66,Seneca,"Kıyıyı gözden kaybetmeye cesaret edemeyince, insan okyanusu keşfedemez.","özgürlük, sınırlar, farkındalık, cesaret",1,"2022-11-14 12:37:39","2022-11-14 12:37:39"
67,"Cemal Süreya","Özlemek erken saatlere alınsın. Sonra uykusuz kalıyor insan.","özlem, uyku, uykusuzluk, gece",1,"2022-12-01 19:18:52","2022-12-01 19:18:52"
68,Seneca,"Erdemsiz bir mutluluk olamaz.","Erdem, mutluluk,",1,"2022-12-06 18:20:13","2022-12-06 18:20:13"
69,"Marcel Proust","Bizleri mutlu eden insanlara şükran duyalım çünkü onlar ruhumuzda çiçekler açtıran büyüleyici bahçıvanlardır.","mutluluk, dostluk, arkadaşlık, şükran",1,"2022-12-06 18:37:31","2022-12-06 18:37:31"
70,"Boethius, Felsefenin Tesellisi","Siz öyle düşünmediğiniz sürece hiçbir şey acınası değildir ve siz ondan memnun olmadığınız sürece hiçbir şey mutluluk getiremez.","mutluluk, algı, düşünce, acınası, memnuniyet",1,"2022-12-06 19:01:40","2022-12-06 19:01:40"
71,"Mahatma Gandhi","Mutluluk; düşündüğün, söylediğin ve yaptığının uyum içinde olmasıdır.","mutluluk, uyum, söz, eylem",1,"2022-12-06 19:13:56","2022-12-06 19:13:56"
72,"İskoç Atasözü","Çocuklar dudaklarınızı değil, ayaklarınızı izlerler.","taklit, yeni jenerasyon, çocuk, rol model",1,"2022-12-12 05:37:11","2022-12-12 05:37:11"
73,"Mevlânâ Celâleddîn-i Rûmî","İnsanın değeri, aradığı şeydir.","amaç, erdem, değer, arayış",1,"2022-12-13 17:34:14","2023-03-15 18:00:36"
74,"Mevlânâ Celâleddîn-i Rûmî","Doğrudan nasihat, kişiyi yaralar.","nasihat, yara, söz, eylem",1,"2022-12-13 17:36:00","2023-03-15 18:01:19"
75,"Gabriel Garcia Marquez","İlaçlar, mutluluğun çözemediği hiçbir şeyi çözemez.","ilaç, mutluluk, tedavi, hastalık",1,"2022-12-20 15:30:03","2022-12-20 15:30:03"
76,"Sigmund Freud","Mutluluğu ararken ona ilk rastladığımız rotada ısrarcı olmamızdan daha doğal ne vardır?","mutluluk, arayış, rota",1,"2022-12-20 15:33:18","2022-12-20 15:33:18"
77,"Alfred Adler","Mutluluk, zorluklara karşı kazanılan zaferin dışavurumu dur.","mutluluk, dışavurum, zorluk, zafer",1,"2022-12-23 20:48:38","2022-12-23 20:48:38"
78,"Virginia Woolf (Dalgalar)","Mutluluk son derece sıradan şeylerdedir. Bir masada, sandalyede, sayfaları arasına kağıt bıçağı sıkıştırılmış bir kitapta... Gülün düşen taç yaprağında, biz sessizce otururken titreşen ışıkta yahut belki de aklımıza düşen önemsiz şeylerde ve aniden onlardan bahsetmemizde...","mutluluk, basit, sıradan, kitap, gül",1,"2022-12-23 20:55:28","2022-12-23 20:55:28"
79,"Friedrich Wilhelm Nietzsche","Yaşamak için bir nedeni olan kişi, her türlü nasıla dayanabilir.","amaç, mutluluk, hayat amacı, neden, kişi, nasıl",1,"2022-12-24 10:46:53","2022-12-24 10:46:53"
80,"Mevlânâ Celâleddîn-i Rûmî","Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.","wise, clever,",2,"2022-12-27 17:20:50","2023-03-15 18:00:50"
81,"Mevlânâ Celâleddîn-i Rûmî","Dün akıllıydım, dünyayı değiştirmek istedim. Bugün bilgeyim, kendimi değiştiriyorum.","bilgelik, değişim, arzu, geçmiş, bugün, kendi",1,"2022-12-27 17:21:55","2023-03-15 18:00:14"
82,"Albius Tibullus","Teklikte, kendine çokluk ol. Yanında kimse olmadığında, benliğine kalabalık ol.","yanlızlık, kalabalık, teklik, arkadaş",1,"2023-01-03 14:58:33","2023-01-03 14:58:33"
83,"Albert Einstein","Önyargıyı yıkmak, atomu parçalamaktan daha zor.","önyargı, zorluk, mücadele",1,"2023-01-04 14:32:55","2023-01-04 14:33:33"
84,"Barış Manço","İnsanın öğrenmesi gereken ilk dil tatlı dildir.","iyilik, dil, insan",1,"2023-01-04 14:34:47","2023-01-04 14:34:47"
85,Montaigne,"Kral da, dilenci de aynı iştahla acıkırlar.","açlık, iştah, eşitlik, zenginlik, fakirlik",1,"2023-01-04 14:39:35","2023-01-04 14:39:35"
86,Konfüçyus,"Gerçeği bilenler ile onu sevenler hiçbir zaman eşit değildirler.","gerçek, bilgelik, eşitlik, sevgi",1,"2023-01-04 14:41:37","2023-01-04 14:41:37"
87,"İsmet Özel","İnsan için önüne çıkan bütün yollar ""yürünebilir"" yollar ise, o insan artık kaybolmuştur.","yol, yolculuk, yürümek, kaybolmak",1,"2023-01-07 15:37:09","2023-01-07 15:37:09"
88,"Türk atasözü","Çağrıldığın yere git, ar eyleme; çağrılmadığın yere gidip yerini dar eyleme.","çağrı, ar, utanma, gitmek, eylemek, yol",1,"2023-01-07 15:38:56","2023-01-07 15:38:56"
89,"Douglas Adams","Bir kitap yazmamak inanılmaz zaman alıyor.","kitap, yazmak, zaman",1,"2023-01-07 15:44:58","2023-01-07 15:44:58"
90,"Friedrich Wilhelm Nietzsche","Bir insan dünyadan vazgeçip, kasıtlı olarak yalnızlık içinde yaşarsa, diğerleriyle olan ilişkisini, nadir olarak yararlandığı özel bir zevk olarak görmeye başlayabilir.","yalnızlık, insan, toplum, zevk",1,"2023-01-07 21:12:03","2023-01-07 21:12:03"
91,"George Orwell","İnsan sevilmekten çok anlaşılmayı istiyordu belki de.","sevgi, insan, anlaşılmak, istek",1,"2023-01-09 10:58:48","2023-01-09 10:58:48"
92,"Victor Hugo","Gençliğe, yaşlılıktan çok hürmet etmeliyiz.","gençlik, yaşlılık",1,"2023-01-10 07:43:05","2023-01-10 07:43:05"
93,"Mevlânâ Celâleddîn-i Rûmî","Sabır, demir kalkandır.","sabır, kuvvet, güç, dayanıklılık",1,"2023-01-10 07:45:26","2023-03-15 18:03:29"
94,"Mevlânâ Celâleddîn-i Rûmî","Bir mum, başka bir muma ışık vermekle ışığından bir şey kaybetmez.","Işık, mum, paylaşmak, bilgi, bilge",1,"2023-01-24 16:45:54","2023-03-15 18:01:06"
95,Platon,"Bilirken susmak, bilmezken konuşmak kadar çirkindir.","bilmek, susmak, suç, suçlu",1,"2023-01-24 17:14:26","2023-01-24 17:14:26"
96,"Ludwig Wittgenstein","Dilimin sınırları, dünyamın sınırlarıdır.","sınır, vizyon, konuşmak, olumlama",1,"2023-02-18 11:34:34","2023-02-18 11:34:34"
97,"Mevlânâ Celâleddîn-i Rûmî","Ayıpsız dost arayan, dostsuz kalır.","dost, ayıp, kusur, aramak",1,"2023-02-18 11:49:26","2023-02-18 11:49:26"
98,"Şems-i Tebrizi","Sevmeyene karınca yük, sevene filler karınca. Dağı bile taşır insan aşık olup inanınca.","inanç, yük, emek, karınca, fil",1,"2023-03-14 17:32:36","2023-03-14 17:32:36"
99,"Ray Bradbury","Kitapları yakmaktan daha kötü suçlar vardır. Bunlardan biri okumamaktır.","kitap, okumak",1,"2023-03-20 10:12:37","2023-03-20 10:12:37"
100,"Elliott Larson","Öfke her zaman hüsranla sonuçlanan beklentilerden gelir.","öfke, beklenti",1,"2023-03-20 10:25:44","2023-03-20 10:25:44"
101,"Aziz Nesin","Biz mağlup olduk efendim. Çirkinliğe, kabalığa, bayağılığa mağlup olduk.","çirkinlik, kabalık, bayağılık, değişim",1,"2023-03-24 04:05:27","2023-03-24 04:05:27"
102,"Mustafa Kemal Atatürk","Vatanını en çok seven, görevini en iyi yapandır.","çalışkanlık, vatan, sevgi, görev",1,"2023-05-11 10:58:30","2023-05-11 10:58:30"
103,"Morris West","Tüm hayatınızı fırtınayı beklemekle geçirirseniz, hiçbir zaman günışığının tadını çıkaramazsınız.","tutum, fırtına, yaşam,",1,"2023-05-12 12:46:37","2023-05-12 12:46:37"
105,"Vincent van Gogh","Sözcüklere gerek kalmadan beni anlayacaklarını sandım.","anlam, anlaşılmak, yaşam",1,"2023-05-13 20:52:16","2023-05-13 20:52:16"
106,Voltaire,"Mükemmel iyinin düşmanıdır.","mükemmellik, iyi, düşman, voltaire, gayret",1,"2023-05-17 06:19:20","2023-05-17 06:19:20"
107,"Winston Churchill","Uçurtmalar rüzgâr gücüyle değil, o güce karşı koydukları için yükselir.","direnç, dayanmak, uçmak, güçlük, zorluk",1,"2023-05-31 13:26:12","2023-05-31 13:26:12"
108,Anonim,"Eğer o günü her zaman yarın yapmazsan, bir gün içerisinde birçok güzel şey yapılabilir.","zaman, gün, yarın, gelecek, deeğerlendirmek",1,"2023-05-31 13:26:12","2023-05-31 13:26:12"
109,Anonim,"Sevgi, ""hatalısın"" yerine ""farklı hissediyorum"" demektir.","sevgi, şefkat, hata, farklı",1,"2023-05-31 13:29:16","2023-05-31 13:29:16"
110,"Billy Wilder","Kendi içgüdülerinize güvenin. Hiç değilse hatalarınızın nedeni siz olursunuz, başkaları değil.","hata, güven, içgüdü, suçlama, olumlu, olumsuz",1,"2023-05-31 13:29:16","2023-05-31 13:29:16"
111,"Zen Atasözü","Kişi kendi gölgesi üzerinde durur ve neden karanlık olduğunu merak eder.","güven, gölge, karanlık, bilinç, zorluk, farkındalık",1,"2023-05-31 13:35:33","2023-05-31 13:35:33"
112,Seneca,"Sen seçimlerinsin.","seçim, karakter, kişilik, kendini bulmak",1,"2023-05-31 13:35:33","2023-05-31 13:35:33"
113,"Mark Victor Hansen","Düşünceniz hareketinizi belirler ve hareketiniz sonuçlarınızı belirler, ama öncelikle inanmalısınız.","kararlılık, düşünce, inanmak, öncelik, seçmek",1,"2023-05-31 13:39:37","2023-05-31 13:39:37"
114,"James Joyce","Hatalar keşfin giriş kapılarıdır.","kararlılık, keşif, hata, zorluk",1,"2023-05-31 13:39:37","2023-05-31 13:39:37"
115,"Benjamin Franklin","Paraya sahip olmanın tek güzel yanı onu harcamaktır.","para, korku, güç",1,"2023-05-31 13:41:39","2023-05-31 13:41:39"
116,"David Starr Jordan","Bilgelik bundan sonra ne yapılacağını, beceri nasıl yapılacağını bilmektir, erdem ise yapmaktır.","bilgelik, beceri, erdem, yapmak, ne, nasıl",1,"2023-05-31 13:41:39","2023-05-31 13:41:39"
117,Anonim,"Anlamlı olmadıkça özrün, özür olmadığını hatırlamalıyız.","özür, anlam, gerçek",1,"2023-05-31 14:02:39","2023-05-31 14:02:39"
118,"Hausa Atasözü","Az için şükret, çoğu bulacaksın.","şükür, zenginlik, az",1,"2023-05-31 14:02:39","2023-05-31 14:02:39"
119,"Lao Tzu","Eksik hiçbir şey olmadığını anladığınızda, tüm dünya size aittir.","dünya, eksiklik, aidiyet, anlam, arayış",1,"2023-05-31 14:04:54","2023-05-31 14:04:54"
120,"Lao Tzu","Büyük eylemler küçük hareketlerden oluşur.","eylem, hareket, güç, değişim, oluşur",1,"2023-05-31 14:04:54","2023-05-31 14:04:54"
121,Epiktetos,"Mutluluk ve özgürlük, bir tek ilkenin açık seçik anlaşılmasıyla başlar; Bazı şeyleri kontrol edebiliriz, başı şeyleri edemeyiz.","epiktetos, özgürlük, stoa, kontrol, anlamak, mutluluk",1,"2023-06-06 11:28:58","2023-06-06 11:28:58"
122,Seneca,"Hayalimizde, gerçekte olduğundan daha fazla acı çekeriz.","acı, gerçek, hayal, stoa, algılama",1,"2023-06-06 11:33:29","2023-06-06 11:33:29"
123,Farabi,"Var mısın ki yok olmaktan korkuyorsun?","var olmak, yok oluş, korku",1,"2023-06-18 20:38:59","2023-06-18 20:38:59"
124,"Doğan Cüceloğlu","Sen hüzünlüsün diye dünya durup sana yol vermeyecek.","hüzün, hayat, zorluk, farkındalık",1,"2023-06-18 20:41:46","2023-06-18 20:41:46"
125,"Christy Brown","Fark etmek acıydı ama gerekliydi.","farkındalık, acı, hayat",1,"2023-06-18 20:43:44","2023-06-18 20:43:44"
126,"Stefan Zweig","Başkalarını çok fazla düşünen bir kimse, kendisini unutur.","bencillik, düşünme, unutmak, özsevgi",1,"2023-06-18 20:45:45","2023-06-18 20:45:45"
127,"Aamir Khan","Uçurtmayı yükselten rüzgar değildir. Rüzgara karşı verdiği mücadeledir.","Zorluk, mücadele, başarı, rüzgar, yükselmek",1,"2023-06-18 20:50:31","2023-06-18 20:50:31"
128,"William Shakespeare","Keşke düşüncelerim de kapansa gözlerim kapanınca.","uyku, düşünme, endişe, kaygı, aşırı düşünme",1,"2023-06-18 20:53:18","2023-06-18 20:53:18"
129,"La Edri","İnsanlar, onlar için ne yaptığınızı anlamazlar; ta ki, siz yapmayı bırakana kadar.","iyilik, nankörlük, yaşam, farkındalık",1,"2023-06-18 20:56:14","2023-06-18 20:56:14"
130,"Albert Einstein","Biz ikna olmuş fizikçiler için geçmiş, günümüz ve gelecek arasındaki fark yalnızca ısrarlı bir yanılsamadan ibarettir.","zaman, yanılgı, fizik, algı",1,"2023-07-09 09:53:30","2023-07-09 09:53:30"
131,Atasözü,"Tebdil-i mekanda ferahlık vardır.","değişim, mekan, ferahlık, esinti, yürüyüş, hareket",1,"2023-07-19 17:42:38","2023-07-19 17:42:38"
133,"J. S. Mill","Düşünce kurgularında temel bir değişim olmadıkça insanlığın genel durumunda büyük bir gelişim mümkün değildir.","düşünce, değişim, yenilik, iyileşme, gelişme, düşünme",1,"2023-07-20 14:06:54","2023-07-20 14:06:54"
134,"Mihaly Csikszentmihalyi","En iyi anlar genelde, bir kişinin bedeni ve zihni zor ve değerli bir şeyi başarmak için gönüllü bir çabayla sınırlarına kadar zorlandığında olur.","zorluk, değer, gönüllülük, başarı, an, anı, çaba",1,"2023-07-20 14:33:16","2023-07-20 14:33:16"
135,"Mihaly Csikszentmihalyi","Kendini kaybeden bir insan, bütün bir dünyayı ka­zansa bile ne olur? Ben önce kendimi fethetmeyi deniyorum, dünyayı kaybetsem de umurumda değil.","kendini, bil, kazanmak, başarı, keşif, özfarkındalık, yönetim, zaman, bilgi",1,"2023-07-20 14:35:00","2023-07-20 14:35:00"
136,Seneca,"En güçlü olan, kendi gücüne sahip olandır.","seçim, özdisiplin, güç, aidiyet, özfarkındalık",1,"2023-07-21 12:29:54","2023-07-21 12:29:54"
137,"Jean Paul Sartre","Her seçiş bir vazgeçiştir.","seçim, vazgeçmek, karar, kararsızlık, yaşam",1,"2023-07-26 14:23:18","2023-07-26 14:23:18"
138,"Cahit Zarifoğlu","Çünkü insan bastırdığı duygunun esiri olur.","stres, baskı, kaygı, anksiyete, düşünce",1,"2023-08-05 09:24:00","2023-08-05 09:24:00"
139,"John Berger","Nesneler bizim onlara yüklediğimiz anlamlardan ibarettir. İnsanlar da öyle.","insan, düşünce, anlam, farkındalık, nesne",1,"2023-08-05 09:25:34","2023-08-05 09:25:34"
140,"Bruce Lee","10.000 tekmeyi 1 kez çalışandansa 1 tekmeyi 10.000 kez çalışandan korkarım.","azim, çalışma, yaşam",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
141,"Mevlânâ Celâleddîn-i Rûmî","Bu yol yalnızca senin, Başkaları seninle yürüyebilir, Fakat hiç kimse senin için yürümez.","yol, kader, farkındalık, kader",1,"2023-08-14 12:18:21","2023-08-14 12:18:21"
142,"Antoine de Saint-Exupery","Bildiğim bir tek özgürlük vardır o da aklın özgürlüğüdür.","özgürlük, düşünce, felsefe, öfke",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
143,Anonim,"İnsanı güçlü kılan, bazı insanların düşündüğü gibi elinde tutmak değil, bazen de bırakmaktır.","öfke, bırakmak, güç",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
144,Buddha,"Geçmiş ne kadar zor olursa olsun, her zaman tekrar başlayabilirsin.","stres, geçmiş, başlamak, yeniden, zorluk",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
145,"Pema Chodron","Acı çekmemize sebep, başımıza gelen değildir; başımıza gelenle ilgili kendimize ne söylediğimizdir.","acı, bakış açısı, sebep, düşünmek, özsevgi",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
146,"Thomas Merton","Mutluluk yoğunluk değil, denge, düzen, ritim ve uyum halidir.","tutum, mutluluk, denge, ritim, düzen",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
147,"Don Miguel Ruiz","Geçmişi bırakmak demek şu andaki rüyanızdan haz alabilirsiniz demektir.","geçmiş, haz, anı yakalamak, rüya",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
148,Atasözü,"Güzel olan şey asla mükemmel değildir.","güzel, mükemmel",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
149,"Jean Vanier","Büyüme, güçsüzlüklerimizi kabul etmeye başladığımızda başlar.","gelişim, büyüme, güçsüzlük, zayıflık, başlamak",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
150,Anonim,"Bir engel, basamak taşı da olabilir köstek de.","engel, zorluk, gelişim, fırsat,",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
