id,owner,adage,keywords,language,created_at,updated_at
450,"Stefan Sagmeister","Şikayet etmek aptallıktır. Ya harekete geç ya da unut.","şikayet, kabul, öfke, unutmak, yaşam",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
460,"Søren Kierkegaard","Bizim çağımızda eksik olan şey düşünce değil, tutkudur.","zaman, düşünce, tutku, bilgelik, yaşam",1,"2023-11-15 07:49:27","2023-11-15 07:49:27"
500,"Joan Kerr","Umut, sahip olduğunuz hissin daimi olmadığı hissidir.","umut, öfke, farkındalık",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
510,Buddha,"Öfkeniz için cezalandırılmayacaksınız, öfkeniz tarafından cezalandırılacaksınız.","öfke, ceza, taraf",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
540,"Søren Kierkegaard","Ne olduğun gerçeğiyle yüzleş, çünkü seni değiştirecek olan şey odur.","kendi, bilgelik, bilme, değişim, gerçek, yüzleşmek, birey",1,"2023-11-15 07:50:47","2023-11-15 07:50:47"
560,"Pema Chodron","Sevincimize en büyük engel kırgınlıktır.","öfke, kırgınlık, yaşam, sevinç",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
570,"Pearl S. Buck","Hissetmediğiniz bir şeyi kendinize zorla hissettiremezsiniz, ama hislerinize rağmen doğruyu yapabilirsiniz.","his, doğru, seçim, yaşam, öfke, üzüntü, stres",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
580,"Çin Atasözü","Bir anlık kızgınlıkta sabırlı olursanız yüz günlük pişmanlıktan kurtulursunuz.","sabır, pişmanlık, kızgınlık, yaşam, öfke",1,"2023-09-14 14:34:05","2023-11-27 05:13:29"
600,"Søren Kierkegaard","Ümitsizliğin en derin biçimi, kendisi olmaktansa başkası olmayı seçmektir.","kendi, bilgelik, bilme, değişim, gerçek, birey, ümit, seçim",1,"2023-11-15 07:51:54","2023-11-15 07:51:54"
610,"Mahatma Gandhi","Zayıflar asla affedemez. Affetmek güçlülerin özelliğidir.","affetmek, zayıflık, güç, öfke",1,"2023-09-14 14:34:05","2023-09-14 14:34:05"
620,"Søren Kierkegaard","Şu dünyaya bir kez adımınızı attınız mı, ölmek için yeterince yaşlısınız demektir.","ölüm, şans, kader, dünya, adım",1,"2023-11-15 07:54:02","2023-11-15 07:54:02"
