id,name,slug,created_at,updated_at
1,Green,green,"2026-04-02 01:39:32","2026-04-02 01:39:32"
2,Blue,blue,"2026-04-02 01:39:32","2026-04-02 01:39:32"
3,Brown,brown,"2026-04-02 01:39:32","2026-04-02 01:39:32"
4,"Light Brown",light-brown,"2026-04-02 01:39:32","2026-04-02 01:39:32"
5,Hazel,hazel,"2026-04-02 01:39:32","2026-04-02 01:39:32"
6,"Dark Brown",dark-brown,"2026-04-02 01:39:33","2026-04-02 01:39:33"
