id,name,slug,created_at,updated_at
1,Erkek,erkek,"2026-04-02 01:39:31","2026-04-02 01:39:31"
2,Kadin,kadin,"2026-04-02 01:39:31","2026-04-02 01:39:31"
3,Diger,diger,"2026-04-02 01:39:31","2026-04-02 01:39:31"
