id,code,name,symbol,created_at,updated_at
1,TRY,"Turkish Lira",₺,"2026-04-02 01:39:31","2026-04-02 01:39:31"
4,GBP,"British Pound",£,"2026-04-02 01:39:32","2026-04-02 01:39:32"
